NO,TITLE,CONTEXT,PERTANYAAN1,PERTANYAAN2,PERTANYAAN3,PERTANYAAN4,PERTANYAAN5,PERTANYAAN6,PERTANYAAN7,PERTANYAAN8,PERTANYAAN9,PERTANYAAN10,PERTANYAAN11,PERTANYAAN12,PERTANYAAN13,PERTANYAAN14,PERTANYAAN15,PERTANYAAN16,PERTANYAAN17,PERTANYAAN18,PERTANYAAN19,PERTANYAAN20,PERTANYAAN21,PERTANYAAN22,PERTANYAAN23,PERTANYAAN24,PERTANYAAN25,PERTANYAAN26,PERTANYAAN27,PERTANYAAN28,PERTANYAAN29,PERTANYAAN30,PERTANYAAN31,PERTANYAAN32,PERTANYAAN33,PERTANYAAN34,PERTANYAAN35,PERTANYAAN36,PERTANYAAN37,PERTANYAAN38,PERTANYAAN39,PERTANYAAN40,PERTANYAAN41,PERTANYAAN42,PERTANYAAN43,PERTANYAAN44,PERTANYAAN45,PERTANYAAN46,PERTANYAAN47,PERTANYAAN48,PERTANYAAN49,PERTANYAAN50,PERTANYAAN51,PERTANYAAN52,PERTANYAAN53,PERTANYAAN54,PERTANYAAN55,PERTANYAAN56,PERTANYAAN57,PERTANYAAN58,PERTANYAAN59,PERTANYAAN60
11,Apakah ranking sekolah dan alumni berpengaruh di SNBP?,"Dalam SNBP, penilaian didasarkan pada rapor dan prestasi. Ranking sekolah digunakan untuk menentukan eligible berdasarkan akreditasi, sedangkan pengaruh alumni tidak besar.",Apakah ranking sekolah dan alumni berpengaruh di SNBP?,Apa saja dasar penilaian dalam seleksi SNBP?,Bagaimana peran ranking sekolah dalam proses pendaftaran SNBP?,Apakah akreditasi sekolah berpengaruh pada kuota SNBP?,Seberapa besar pengaruh rekam jejak alumni bagi pendaftar SNBP?,Apakah memiliki banyak alumni di kampus impian menjamin kelulusan SNBP?,"Selain rapor, faktor apa yang menjadi pertimbangan di SNBP?",Apa fungsi utama dari ranking sekolah terkait akreditasi di SNBP?,Apakah siswa wajib memiliki alumni di kampus tujuan agar bisa lolos?,Bagaimana cara menentukan kelayakan siswa untuk ikut SNBP?,Apakah pengaruh alumni lebih besar daripada nilai rapor dan prestasi?,Sekolah saya punya banyak alumni di UI. Apakah ini menjamin saya akan mudah lolos SNBP ke sana?,Rapor saya bagus tapi akreditasi sekolah rendah sehingga ranking eligiblenya kecil. Apa dampaknya?,Budi bingung memilih kampus dengan banyak alumni atau fokus pada nilai rapornya. Apa saran yang tepat?,Dina tidak memiliki kakak kelas yang lolos di prodi impiannya. Apakah peluang Dina tertutup di SNBP?,"Andi berada di peringkat atas di sekolahnya, tetapi tidak punya alumni di universitas tujuannya. Apakah dia masih bisa lolos SNBP?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Apakah juara LKTI bisa jadi prioritas SNBP?,"Prestasi seperti juara LKTI dapat digunakan sebagai pendukung, namun tidak menjadi jaminan atau prioritas utama kelulusan.",Apakah juara LKTI bisa jadi prioritas SNBP?,Apa peran sertifikat juara LKTI dalam pendaftaran SNBP?,Apakah menjadi juara LKTI menjamin kelulusan jalur SNBP?,Seberapa besar prioritas sertifikat lomba LKTI untuk kelulusan SNBP?,Apakah juara karya tulis ilmiah wajib dilampirkan agar pasti lolos SNBP?,Apakah LKTI menjadi penentu utama dalam seleksi kelulusan SNBP?,Adakah jaminan diterima bagi siswa yang melampirkan piagam LKTI nasional?,Sebutkan prestasi yang bisa digunakan sebagai pendukung kelulusan di SNBP.,Bisakah piagam juara LKTI menggantikan pentingnya nilai rapor di SNBP?,Apakah pendaftar dengan piagam LKTI akan diprioritaskan di atas pendaftar lain?,Seberapa penting prestasi pendukung dalam kelulusan SNBP?,Saya menang juara 1 LKTI nasional kemarin. Apakah saya otomatis diterima SNBP di kampus impian?,Tono punya nilai rapor pas-pasan tapi dia juara LKTI internasional. Apakah kampus akan memprioritaskannya?,Rani ragu melampirkan sertifikat LKTI karena merasa tidak menjamin lulus. Bagaimana sebenarnya peran sertifikat itu?,Budi tetap gagal di SNBP meski melampirkan bukti juara LKTI provinsi. Mengapa hal ini bisa terjadi?,Saya ingin fokus ikut lomba LKTI saja agar pasti diterima SNBP tahun depan. Apakah strategi saya ini benar?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Apakah lintas jurusan mempengaruhi peluang SNBP?,"Dalam seleksi SNBP, peluang lintas jurusan tetap sama selama memenuhi persyaratan program studi yang dipilih.",Apakah lintas jurusan mempengaruhi peluang SNBP?,Bagaimana peluang siswa yang mengambil lintas jurusan pada SNBP?,Apakah peluang lolos lintas jurusan di SNBP lebih kecil dibanding yang linier?,Syarat apa yang harus dipenuhi jika ingin lintas jurusan di pendaftaran SNBP?,Apakah seleksi SNBP mengurangi peluang pendaftar yang lintas jurusan?,Bagaimana ketentuan untuk bisa mendaftar prodi lintas jurusan di SNBP?,Apakah anak IPA yang mendaftar jurusan Soshum di SNBP memiliki peluang yang sama?,Apa faktor yang menentukan seseorang bisa diterima di SNBP meski lintas jurusan?,Adakah penalti peluang bagi pendaftar SNBP yang mengambil prodi lintas jurusan?,Bagaimana syarat program studi menentukan pilihan lintas jurusan?,Apakah peluang diterima berkurang jika saya mendaftar prodi yang tidak linier dengan jurusan SMA saya?,Saya anak IPS dan berminat mendaftar jurusan Kedokteran di SNBP. Apakah peluang saya sama dengan anak IPA?,Dita ingin mengambil Teknik Elektro meski dia dari jurusan Bahasa. Apa yang harus Dita pastikan sebelum memilih?,Rendi merasa pesimis lolos prodi Manajemen karena dia berasal dari kelas IPA. Apakah kekhawatiran Rendi beralasan?,Siti ingin mendaftar lintas jurusan. Apakah universitas akan menurunkan kesempatannya dibanding pendaftar linier?,Joni ragu memilih prodi lintas jurusan karena takut merugikannya di SNBP. Bagaimana sebenarnya aturan peluang lintas jurusan tersebut?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Jika lolos IUP, apakah masih bisa ikut SNBT?","Jika sudah lolos IUP, peserta masih bisa mendaftar SNBT.","Jika lolos IUP, apakah masih bisa ikut SNBT?",Apa itu status kelulusan IUP kaitannya dengan pendaftaran ujian lainnya?,Apakah peserta yang sudah diterima di program IUP dilarang mengikuti SNBT?,Bisakah saya mendaftar ujian SNBT jika sudah dinyatakan lolos IUP?,Apa konsekuensi lulus kelas internasional IUP terhadap partisipasi di SNBT?,Apakah jalur IUP menggugurkan hak peserta untuk ikut tes seleksi SNBT?,Bagaimana status kepesertaan SNBT bagi mahasiswa yang telah diterima di IUP?,Apakah siswa harus menolak penerimaan IUP agar bisa mendaftar SNBT?,Adakah larangan mendaftar SNBT setelah diterima masuk IUP universitas?,Apakah peluang mengikuti SNBT tertutup bagi mereka yang lulus jalur IUP?,Bolehkan mahasiswa kelas IUP mencoba peruntungan lagi di UTBK SNBT?,Saya mendapat pengumuman lolos IUP UGM kemarin. Bolehkah saya tetap mendaftar UTBK SNBT?,Caca sudah membayar UKT awal masuk IUP namun masih ingin ikut SNBT. Apakah sistem akan memblokirnya?,Orang tua Budi menyuruhnya ikut tes SNBT meskipun dia sudah dipastikan diterima di jalur IUP. Apakah Budi masih bisa mendaftar?,"Andi takut jika dia mengambil kursi lolos IUP, akun SNBT miliknya akan hangus. Apakah ketakutan Andi ini benar?",Dina bingung apakah dia harus melepas status lulus IUP agar bisa mengikuti SNBT bulan depan. Apa yang seharusnya Dina lakukan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Di mana cek passing grade UGM?,UGM tidak pernah merilis informasi resmi terkait passing grade.,Di mana cek passing grade UGM?,Di mana saya bisa melihat passing grade resmi untuk masuk UGM?,Apakah UGM secara berkala menerbitkan data passing grade setiap tahunnya?,Bagaimana cara mengecek angka passing grade yang akurat untuk tiap prodi di UGM?,Apakah ada informasi resmi dari pihak UGM terkait batas nilai kelulusan?,Situs website mana yang menyediakan data passing grade resmi dari UGM?,Apakah UGM menyebarkan informasi tentang passing grade prodi secara terbuka?,Di mana letak tautan resmi untuk mengecek nilai minimal UTBK masuk UGM?,Apakah panitia kampus UGM merilis passing grade untuk jalur mandiri?,Bagaimana cara mendapatkan info passing grade kedokteran langsung dari pihak UGM?,Apakah data passing grade UGM yang banyak beredar di internet merupakan rilis resmi kampus?,Saya mencari referensi passing grade prodi Hukum UGM di internet sebagai target belajar. Apakah angka tersebut resmi dari UGM?,Rina pesimis karena nilai TO-nya belum mencapai passing grade UGM yang dia temukan di media sosial. Bagaimana kebenaran informasi passing grade itu?,Anton menelepon panitia PMB UGM menanyakan passing grade jurusan Teknik Mesin. Jawaban seperti apa yang akan diterima Anton?,Sebuah bimbingan belajar mengklaim memiliki data passing grade eksklusif dari internal UGM. Apakah klaim tersebut bisa dipercaya?,Dita menghabiskan waktu mencari dokumen resmi passing grade di web UGM tapi tidak menemukannya. Mengapa hal ini bisa terjadi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kapan pendaftaran PBUB dibuka?,"Untuk pendaftaran PBUB, informasinya akan diumumkan melalui laman https://admissions.ugm.ac.id/",Kapan pendaftaran PBUB dibuka?,Di mana saya bisa melihat jadwal pendaftaran PBUB UGM?,Link apa yang harus diakses untuk tahu kapan PBUB dibuka?,Info pendaftaran PBUB diumumkan di website mana?,Kapan pastinya pendaftaran PBUB akan dimulai?,Apakah jadwal buka pendaftaran PBUB sudah ada informasinya?,Bagaimana cara mengecek pengumuman pendaftaran PBUB?,Laman apa yang memuat info pendaftaran jalur PBUB?,Di web mana pengumuman jadwal PBUB akan dirilis?,Saya bisa tahu pendaftaran PBUB dibuka dari portal mana?,Apa alamat website resmi untuk memantau pendaftaran PBUB?,Saya ingin bersiap daftar PBUB tahun depan. Di website mana saya harus pantau jadwalnya?,Teman saya bilang pendaftaran PBUB belum jelas kapan dibukanya. Ke mana saya harus cek info resminya?,Saya takut kelewatan jadwal pendaftaran PBUB UGM. Laman apa yang harus saya pantau setiap hari?,Guru BK menyuruh saya mencari tahu jadwal PBUB. Alamat web apa yang bisa saya kunjungi?,Saya sedang menyusun timeline pendaftaran kuliah. Di portal apa UGM akan mengumumkan jadwal PBUB?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Apakah sekolah non Top 1000 bisa daftar UGM?,Siswa tetap bisa mendaftar meskipun sekolahnya tidak termasuk Top 1000.,Apakah sekolah non Top 1000 bisa daftar UGM?,Apakah siswa dari sekolah di luar Top 1000 boleh mendaftar ke UGM?,Bolehkah mendaftar UGM jika asal sekolah tidak masuk Top 1000?,Apakah status Top 1000 sekolah menjadi syarat wajib mendaftar?,Bisakah saya daftar UGM walaupun sekolah saya peringkatnya rendah?,Apakah ada larangan daftar UGM bagi sekolah yang bukan Top 1000?,Apakah pendaftaran UGM terbuka untuk siswa dari sekolah non Top 1000?,Bolehkah siswa sekolah biasa yang tidak masuk Top 1000 ikut seleksi UGM?,Apakah status sekolah non Top 1000 akan menggugurkan pendaftaran?,Bisakah daftar UGM kalau sekolah tidak ada di daftar Top 1000?,Apakah sekolah saya harus masuk Top 1000 dulu supaya saya bisa daftar UGM?,SMA saya ada di pedesaan dan belum masuk peringkat Top 1000 nasional. Apakah saya punya kesempatan daftar UGM?,Nilai saya bagus tapi sekolah saya akreditasinya biasa saja dan bukan Top 1000. Boleh tidak saya mendaftar?,Teman saya bilang cuma anak dari sekolah Top 1000 yang bisa masuk UGM. Apakah aturan pendaftarannya memang begitu?,Saya baru sadar sekolah saya tidak ada di daftar Top 1000. Apakah saya harus mengurungkan niat daftar UGM?,Sekolah negeri saya baru berdiri tahun lalu jadi belum masuk Top 1000. Apakah siswanya sudah bisa mencoba daftar UGM?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Apakah PBUB bisa pakai sertifikat organisasi?,"Untuk jalur PBUB, sertifikat organisasi belum dapat digunakan sebagai syarat pendaftaran.",Apakah PBUB bisa pakai sertifikat organisasi?,Apakah sertifikat organisasi bisa dipakai untuk daftar PBUB?,Bisakah mendaftar jalur PBUB menggunakan piagam organisasi?,Apakah pengalaman organisasi dihitung sebagai syarat pendaftaran PBUB?,Bolehkah melampirkan sertifikat pengurus OSIS untuk PBUB?,Apakah sertifikat kepanitiaan atau organisasi diterima di jalur PBUB?,Apa bisa pakai bukti aktif organisasi buat syarat PBUB?,Diterimakah sertifikat organisasi siswa saat mendaftar PBUB?,Apakah dokumen keaktifan organisasi berlaku untuk syarat PBUB?,Bolehkah menggunakan sertifikat organisasi sebagai syarat daftar jalur PBUB?,Apakah PBUB memperbolehkan penggunaan sertifikat keorganisasian?,Saya pernah menjadi Ketua OSIS selama dua periode berturut-turut. Bisakah sertifikatnya saya pakai buat daftar PBUB?,Saya tidak punya piagam juara lomba tapi punya sertifikat ketua panitia acara tingkat nasional. Apa bisa saya gunakan untuk PBUB?,Waktu SMA saya aktif di Pramuka dan punya banyak sertifikat organisasi. Apakah berguna kalau saya daftar lewat jalur PBUB?,Saya ingin melampirkan sertifikat kepengurusan BEM sekolah untuk tambah nilai di PBUB. Apakah dokumen itu akan dinilai?,Piagam kepemimpinan dari organisasi pemuda mau saya pakai sebagai syarat mendaftar PBUB. Boleh tidak?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Apakah sertifikat tingkat kabupaten bisa untuk PBUB?,Sertifikat tingkat kabupaten tidak dapat digunakan untuk jalur PBUB bidang olahraga dan seni. Tingkat kejuaraan yang diakui minimal juara 1 tingkat provinsi,Apakah sertifikat tingkat kabupaten bisa untuk PBUB?,Apakah sertifikat kejuaraan tingkat kabupaten bisa untuk PBUB olahraga dan seni?,Berapa tingkat kejuaraan minimal untuk mendaftar PBUB seni dan olahraga?,Bisakah daftar PBUB menggunakan piagam juara 1 tingkat kabupaten?,Apakah juara provinsi adalah syarat minimal untuk PBUB bidang olahraga?,Diterimakah sertifikat tingkat kabupaten untuk daftar PBUB seni?,Sertifikat juara tingkat apa yang diakui oleh jalur PBUB?,Apakah minimal harus juara 1 provinsi agar sertifikatnya diakui di PBUB?,Bolehkah pakai sertifikat seni dari tingkat kabupaten?,Syarat juara minimal untuk jalur PBUB olahraga itu tingkat apa?,Apakah sertifikat juara tingkat provinsi diakui di jalur PBUB?,Saya juara 1 lomba renang se-kabupaten bulan lalu. Bisa tidak sertifikatnya saya lampirkan buat PBUB olahraga?,Tahun lalu saya juara 1 lomba lukis tingkat provinsi. Apakah piagam ini memenuhi syarat pendaftaran PBUB seni?,Saya punya sertifikat juara 2 basket tingkat provinsi. Apakah tingkat kejuaraan ini sudah cukup untuk daftar PBUB?,Piagam saya banyak tapi semuanya juara 1 pencak silat tingkat kabupaten. Bisa tidak saya gunakan mendaftar PBUB UGM?,Kalau mau ikut PBUB seni tari apakah sertifikat juara tingkat kota atau kabupaten bisa dihitung dalam seleksi?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Apakah lomba harus dari Puspresnas?,"Untuk sertifikat lomba, sebaiknya menggunakan yang diselenggarakan atau dikurasi oleh Puspresnas.",Apakah lomba harus dari Puspresnas?,Apakah sertifikat lomba yang didaftarkan harus dari Puspresnas?,Bolehkah menggunakan sertifikat lomba yang tidak dikurasi Puspresnas?,Lomba dari penyelenggara apa yang diutamakan untuk pendaftaran?,Apakah penyelenggara lomba harus dikurasi oleh Puspresnas?,Sertifikat lomba seperti apa yang sebaiknya digunakan?,Apakah wajib melampirkan sertifikat dari Puspresnas?,Lembaga apa yang sebaiknya menyelenggarakan lomba untuk sertifikatnya?,Bisakah menggunakan sertifikat yang diselenggarakan di luar Puspresnas?,Siapa yang sebaiknya mengkurasi lomba agar sertifikatnya bagus digunakan?,Apakah ada saran penyelenggara untuk sertifikat lomba yang dilampirkan?,Saya memenangkan olimpiade biologi yang diadakan kampus swasta. Apakah lebih baik kalau saya pakai sertifikat dari Puspresnas saja?,Ada lomba karya tulis ilmiah yang diadakan oleh perusahaan swasta dan bukan dari Puspresnas. Apakah sertifikatnya disarankan untuk dilampirkan?,Saya bingung memilih sertifikat antara lomba dari kementerian yang dikurasi Puspresnas atau dari lembaga swadaya masyarakat. Mana yang sebaiknya dipilih?,Guru saya menyarankan ikut lomba yang diadakan Puspresnas. Memangnya untuk pendaftaran nanti lebih diutamakan yang dari sana ya?,Kalau lombanya tingkat nasional tapi tidak dikurasi oleh Puspresnas apakah masih disarankan untuk dipakai sebagai syarat pendaftaran?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
